

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

RUN: run status: enemy: 5; fitness: 87.30324619773175; player life: 29.80000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 61.4722447210179; player life: 53.80000000000032; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.335054251498059; player life: 0; enemy life: 100; time: 564

RUN: run status: enemy: 5; fitness: -6.493753839851686; player life: 0; enemy life: 100; time: 661

RUN: run status: enemy: 5; fitness: 11.341988954129253; player life: 0; enemy life: 80.0; time: 779

RUN: run status: enemy: 5; fitness: 43.4122447210179; player life: 53.200000000000315; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 90.59982739098297; player life: 62.80000000000034; enemy life: 0; time: 293

RUN: run status: enemy: 5; fitness: 88.94518926293742; player life: 47.8000000000003; enemy life: 0; time: 342

RUN: run status: enemy: 5; fitness: 93.32168263345199; player life: 86.20000000000013; enemy life: 0; time: 200

RUN: run status: enemy: 5; fitness: 0.21224472101789083; player life: 71.20000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 30.021114235098878; player life: 0; enemy life: 60.0; time: 395

RUN: run status: enemy: 5; fitness: 24.572244721017892; player life: 44.800000000000296; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.39458214576861; player life: 55.60000000000032; enemy life: 0; time: 476

RUN: run status: enemy: 5; fitness: 22.472244721017887; player life: 23.800000000000246; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.0545821457686; player life: 2.200000000000234; enemy life: 0; time: 476

RUN: run status: enemy: 5; fitness: 2.1530568604146207; player life: 0; enemy life: 90.0; time: 941

RUN: run status: enemy: 5; fitness: 89.32964054567597; player life: 50.20000000000031; enemy life: 0; time: 296

RUN: run status: enemy: 5; fitness: -6.582025138892826; player life: 0; enemy life: 100; time: 722

RUN: run status: enemy: 5; fitness: 89.83788117912033; player life: 54.40000000000032; enemy life: 0; time: 271

RUN: run status: enemy: 5; fitness: -6.345636360828596; player life: 0; enemy life: 100; time: 570

RUN: run status: enemy: 5; fitness: 12.932244721017888; player life: 18.400000000000233; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.10939087985283; player life: 0; enemy life: 40.0; time: 983

RUN: run status: enemy: 5; fitness: 2.535411696310039; player life: 0; enemy life: 90.0; time: 642

RUN: run status: enemy: 5; fitness: 11.101285465670012; player life: 0; enemy life: 80.0; time: 991

RUN: run status: enemy: 5; fitness: 88.36109822612275; player life: 41.20000000000029; enemy life: 0; time: 317

RUN: run status: enemy: 5; fitness: 89.09959913428288; player life: 47.2000000000003; enemy life: 0; time: 276

RUN: run status: enemy: 5; fitness: 91.83057091248861; player life: 73.60000000000025; enemy life: 0; time: 252

RUN: run status: enemy: 5; fitness: 88.02698639161588; player life: 38.20000000000028; enemy life: 0; time: 328

RUN: run status: enemy: 5; fitness: -5.187755278982114; player life: 17.20000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.373319789577012; player life: 0; enemy life: 100; time: 586

RUN: run status: enemy: 5; fitness: 65.59808280327282; player life: 0; enemy life: 20.0; time: 603

RUN: run status: enemy: 5; fitness: 5.3122447210178905; player life: 32.200000000000266; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 11.647370603680432; player life: 0; enemy life: 80.0; time: 574

RUN: run status: enemy: 5; fitness: -6.2422232654551655; player life: 0; enemy life: 100; time: 514

RUN: run status: enemy: 5; fitness: -6.267200548541362; player life: 0; enemy life: 100; time: 527

RUN: run status: enemy: 5; fitness: 87.75524924314813; player life: 41.20000000000029; enemy life: 0; time: 581

RUN: run status: enemy: 5; fitness: 89.00877351051689; player life: 51.40000000000031; enemy life: 0; time: 460

RUN: run status: enemy: 5; fitness: 3.036420656381554; player life: 0; enemy life: 90.0; time: 389

RUN: run status: enemy: 5; fitness: -6.087755278982113; player life: 8.200000000000232; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.411818267709897; player life: 0; enemy life: 100; time: 609

RUN: run status: enemy: 5; fitness: 93.3928282285399; player life: 88.00000000000011; enemy life: 0; time: 223

RUN: run status: enemy: 5; fitness: 90.13052820481508; player life: 57.400000000000325; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: 11.647370603680432; player life: 0; enemy life: 80.0; time: 574

RUN: run status: enemy: 5; fitness: 20.072244721017874; player life: 89.8000000000001; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -0.20775527898210555; player life: 67.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 85.8323159815154; player life: 23.200000000000244; enemy life: 0; time: 657

RUN: run status: enemy: 5; fitness: -6.413458957167357; player life: 0; enemy life: 100; time: 610

RUN: run status: enemy: 5; fitness: 20.38393481486718; player life: 0; enemy life: 70.0; time: 747

RUN: run status: enemy: 5; fitness: 88.99052820481506; player life: 46.0000000000003; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: -6.51471269087253; player life: 0; enemy life: 100; time: 675

RUN: run status: enemy: 5; fitness: 20.702890680066066; player life: 0; enemy life: 70.0; time: 543

RUN: run status: enemy: 5; fitness: -6.326149473155099; player life: 0; enemy life: 100; time: 559

RUN: run status: enemy: 5; fitness: 4.052244721017887; player life: 19.600000000000236; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 88.40518926293741; player life: 42.40000000000029; enemy life: 0; time: 342

RUN: run status: enemy: 5; fitness: 11.43755590630628; player life: 0; enemy life: 80.0; time: 708

RUN: run status: enemy: 5; fitness: -6.027755278982114; player life: 8.800000000000232; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 56.552244721017885; player life: 4.600000000000234; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 88.44698639161588; player life: 42.40000000000029; enemy life: 0; time: 328

RUN: run status: enemy: 5; fitness: 18.812244721017883; player life: 77.20000000000022; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 87.79067522005317; player life: 36.400000000000276; enemy life: 0; time: 347

RUN: run status: enemy: 5; fitness: 88.0166851959654; player life: 41.80000000000029; enemy life: 0; time: 475

RUN: run status: enemy: 5; fitness: 47.98384284030165; player life: 0; enemy life: 40.0; time: 410

RUN: run status: enemy: 5; fitness: 88.38324619773175; player life: 40.600000000000286; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 87.98901301948916; player life: 35.800000000000274; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: -3.4477552789821093; player life: 34.60000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 74.77742373192864; player life: 0; enemy life: 10.0; time: 504

RUN: run status: enemy: 5; fitness: 65.6738505268449; player life: 0; enemy life: 20.0; time: 559

RUN: run status: enemy: 5; fitness: -6.366470447731438; player life: 0; enemy life: 100; time: 582

